+--------+---------------------+-----------------+
| idlogs | data_hora           | dados_recebidos |
|    469 | 2023-11-11 15:25:49 |               6 |
|    470 | 2023-11-11 15:26:40 |           11112 |
|    471 | 2023-11-11 15:48:04 |               6 |
|    472 | 2023-11-11 19:53:29 |               6 |
|    473 | 2023-11-11 19:53:46 |             311 |
|    474 | 2023-11-11 20:13:11 |           11112 |
|    475 | 2023-11-11 20:51:49 |           11112 |
|    476 | 2023-11-12 08:24:45 |               6 |
|    477 | 2023-11-12 08:26:48 |             311 |
|    478 | 2023-11-12 12:53:49 |               6 |
|    479 | 2023-11-12 13:55:37 |               6 |
|    480 | 2023-11-12 14:22:40 |           11112 |
|    481 | 2023-11-12 23:04:42 |               2 |
|    482 | 2023-11-12 23:05:17 |             316 |
|    483 | 2023-11-13 06:28:11 |           11112 |
|    484 | 2023-11-13 07:51:21 |         1111112 |
|    485 | 2023-11-13 08:31:00 |           11112 |
|    486 | 2023-11-13 08:46:36 |               6 |
|    487 | 2023-11-13 08:46:45 |               2 |
|    488 | 2023-11-13 08:51:52 |               6 |
|    489 | 2023-11-13 10:09:27 |           11112 |
|    490 | 2023-11-13 10:13:34 |               2 |
|    491 | 2023-11-13 10:18:30 |               2 |
|    492 | 2023-11-13 10:19:37 |               2 |
|    493 | 2023-11-13 10:28:46 |               6 |
|    494 | 2023-11-13 10:29:16 |             311 |
|    495 | 2023-11-13 10:41:15 |               6 |
|    496 | 2023-11-13 10:58:03 |         1111112 |
|    497 | 2023-11-13 11:18:55 |               6 |
|    498 | 2023-11-13 11:42:34 |               2 |
|    499 | 2023-11-13 12:54:34 |               6 |
|    500 | 2023-11-13 12:57:39 |           11112 |
|    501 | 2023-11-13 13:20:04 |             112 |
|    502 | 2023-11-13 13:22:23 |               2 |
|    503 | 2023-11-13 13:48:59 |               6 |
|    504 | 2023-11-13 14:20:16 |               2 |
|    505 | 2023-11-13 14:50:58 |           51111 |
|    506 | 2023-11-13 14:51:17 |               6 |
|    507 | 2023-11-13 15:06:04 |               2 |
|    508 | 2023-11-13 15:09:21 |               6 |
|    509 | 2023-11-13 16:10:47 |               2 |
|    510 | 2023-11-13 17:14:15 |               6 |
|    511 | 2023-11-13 17:17:45 |               6 |
|    512 | 2023-11-13 17:19:56 |               6 |
|    513 | 2023-11-13 18:10:16 |           11112 |
|    514 | 2023-11-13 18:17:21 |               2 |
|    515 | 2023-11-13 18:18:30 |               6 |
|    516 | 2023-11-13 18:22:13 |               6 |
|    517 | 2023-11-13 18:22:45 |               2 |
|    518 | 2023-11-13 18:23:01 |             312 |
|    519 | 2023-11-13 19:33:12 |         1111112 |
|    520 | 2023-11-13 19:43:59 |         1111112 |
|    521 | 2023-11-13 22:49:48 |               6 |
|    522 | 2023-11-13 23:35:49 |           11112 |
|    523 | 2023-11-14 08:20:56 |               6 |
|    524 | 2023-11-14 08:48:34 |             112 |
|    525 | 2023-11-14 09:08:17 |         1111112 |
|    526 | 2023-11-14 09:29:35 |               2 |
|    527 | 2023-11-14 09:46:48 |               2 |
|    528 | 2023-11-14 10:26:01 |               6 |
|    529 | 2023-11-14 10:31:58 |               2 |
|    530 | 2023-11-14 10:52:01 |               2 |
|    531 | 2023-11-14 10:52:42 |               6 |
|    532 | 2023-11-14 11:01:10 |               6 |
|    533 | 2023-11-14 11:16:21 |               6 |
|    534 | 2023-11-14 11:37:58 |               2 |
|    535 | 2023-11-14 11:42:53 |               2 |
|    536 | 2023-11-14 11:43:33 |               6 |
