idlogs,data,hora,dados_recebidos
+--------+---------------------+-----------------+
idlogs,data_hora,dados_recebidos
+--------+---------------------+-----------------+
536,2023-11-14,11:43:33,61
537,2023-11-14,11:48:20,1121
538,2023-11-14,12:11:10,21
539,2023-11-14,12:17:42,21
540,2023-11-14,12:45:39,21
541,2023-11-14,13:20:27,21
542,2023-11-14,13:20:54,21
543,2023-11-14,13:31:56,61
544,2023-11-14,13:33:08,21
545,2023-11-14,13:35:37,11111121
546,2023-11-14,13:51:37,21
547,2023-11-14,16:42:44,111121
548,2023-11-14,17:18:09,11111121
549,2023-11-14,17:44:45,3111
550,2023-11-14,18:44:53,11111121
551,2023-11-14,19:35:34,21
552,2023-11-14,19:35:49,61
553,2023-11-15,12:21:06,111121
554,2023-11-15,12:22:53,11111121
555,2023-11-15,12:28:24,21
556,2023-11-15,15:30:06,61
557,2023-11-15,19:20:00,111121
558,2023-11-15,19:42:09,61
559,2023-11-15,21:16:16,61
560,2023-11-16,07:32:34,111121
561,2023-11-16,09:18:35,11111121
562,2023-11-16,10:27:03,61
563,2023-11-16,10:27:15,21
564,2023-11-16,10:40:09,3181
565,2023-11-16,10:57:47,111121
566,2023-11-16,11:34:07,61
567,2023-11-16,11:34:25,61
568,2023-11-16,11:45:39,21
569,2023-11-16,11:46:45,21
570,2023-11-16,12:10:27,111121
571,2023-11-16,12:12:25,61
572,2023-11-16,12:26:28,61
573,2023-11-16,12:39:11,61
574,2023-11-16,12:43:54,111121
575,2023-11-16,12:45:45,1121
576,2023-11-16,13:09:11,61
577,2023-11-16,13:11:43,61
578,2023-11-16,13:50:09,21
579,2023-11-16,15:20:54,21
580,2023-11-16,15:59:10,61
581,2023-11-16,15:59:32,3111
582,2023-11-16,16:04:12,21
583,2023-11-16,16:09:51,61
584,2023-11-16,16:30:25,21
585,2023-11-16,17:03:22,511121
586,2023-11-16,18:15:44,21
587,2023-11-16,21:29:51,111121
588,2023-11-16,21:30:42,11111121
589,2023-11-16,22:57:16,11111121
590,2023-11-16,23:33:00,21
591,2023-11-17,01:19:44,21
592,2023-11-17,02:04:17,111121
593,2023-11-17,06:38:35,21
594,2023-11-17,06:49:04,21
595,2023-11-17,08:49:49,11111121
596,2023-11-17,08:51:45,3111
597,2023-11-17,09:14:54,21
598,2023-11-17,09:22:51,61
599,2023-11-17,09:23:35,11111121
600,2023-11-17,09:56:16,11111121
